name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
La Leyenda Del Pájaro Antiguo (feat. Nacho Vegas),Carlos Madrid,0.42,0.357,9,-8.995,1,0.0322,0.825,1.23e-06,0.0857,0.241,116.582,211305,4
Paranoid Android,Brad Mehldau,0.385,0.573,7,-13.027,0,0.0449,0.669,0.886,0.0932,0.121,100.988,545013,4
There Is An End,Craig James Fox,0.691,0.574,11,-6.006,0,0.0271,0.118,7.02e-05,0.139,0.854,107.046,183391,4
Yegelle Tezeta,Mulatu Astatke,0.839,0.348,3,-7.567,1,0.0362,0.766,0.834,0.0996,0.786,125.588,192819,4
Different Pulses,Asaf Avidan,0.635,0.53,3,-5.992,1,0.0238,0.319,0.0566,0.175,0.0932,96.977,266947,4
Far From Any Road,The Handsome Family,0.706,0.552,9,-10.028,0,0.0312,0.234,0.0116,0.477,0.738,120.009,168227,4
Lead Me Home - The Walking Dead Soundtrack,Jamie N Commons,0.537,0.279,6,-11.028,1,0.0289,0.795,0.000146,0.118,0.168,104.403,117427,4
Shadows,Au Revoir Simone,0.422,0.612,3,-10.187,0,0.0344,0.188,0.574,0.0859,0.598,164.975,242973,4
Warm Shadow,Fink,0.738,0.556,4,-11.505,0,0.0396,0.635,0.246,0.112,0.286,100.522,346760,3
Guns Of Brixton,Nouvelle Vague,0.753,0.496,4,-9.512,0,0.0356,0.624,5.91e-06,0.0741,0.34,119.959,246947,4
This Is Not A Love Song,Nouvelle Vague,0.707,0.476,1,-10.496,0,0.0314,0.745,4.88e-06,0.13,0.588,99.974,227800,4
Imik Si Mik,Hindi Zahra,0.785,0.488,9,-8.328,1,0.0347,0.733,0.0,0.136,0.781,112.01,232629,4
Sushi,Cocoon,0.6,0.481,5,-12.771,0,0.0292,0.786,0.118,0.109,0.491,98.955,201787,4
Reunite,Isbells,0.59,0.476,1,-12.784,0,0.0294,0.756,0.208,0.106,0.6,68.161,235720,4
Oats In The Water,Ben Howard,0.364,0.475,2,-9.442,0,0.0289,0.275,0.455,0.188,0.0964,127.869,299382,4
Hey! Wake Up,Luthea Salom,0.911,0.392,0,-8.474,1,0.0499,0.797,0.00314,0.107,0.934,93.974,98267,4
A Real Hero,College & Electric Youth,0.719,0.431,10,-9.226,1,0.0357,0.834,0.739,0.145,0.378,112.004,267860,4
Under Your Spell,Desire,0.572,0.599,8,-10.19,1,0.0334,0.0277,0.649,0.0938,0.474,105.555,296400,4
Eme n'gui mona n'gola,Carlitos Vieira Dias,0.758,0.77,5,-10.566,1,0.0464,0.516,9.51e-05,0.164,0.846,107.945,276533,4
La Vuelta Al Mundo,Calle 13,0.748,0.538,0,-9.943,1,0.222,0.159,1.62e-06,0.167,0.779,124.974,234133,4
Canción Del Extranjero,Nacho Vegas,0.444,0.31,6,-12.836,0,0.082,0.918,0.0,0.123,0.611,93.085,325253,4
I Wish You Were Here,Alpha Blondy,0.796,0.566,7,-7.857,1,0.0695,0.02,0.0181,0.116,0.58,143.994,267120,4
El Partisano,Espaldamaceta,0.397,0.246,0,-14.786,0,0.0383,0.925,0.00846,0.103,0.447,83.333,235987,4
Criminals,The Tallest Man On Earth,0.609,0.413,10,-5.559,1,0.0336,0.874,0.0299,0.111,0.426,126.701,209947,4
La Nueva Reconquista de Graná,Grupo De Expertos Solynieve,0.229,0.64,9,-7.361,1,0.0469,0.413,0.755,0.0927,0.546,166.732,238186,3
Ballad of Hollis Brown,Bob Dylan,0.683,0.312,3,-13.588,1,0.0371,0.912,0.000123,0.0996,0.519,111.468,302307,4
How to Disappear Completely,Radiohead,0.168,0.302,6,-11.645,0,0.0344,0.315,0.79,0.11,0.205,102.041,356333,4
Sigur 1 (Untitled),Sigur Rós,0.294,0.127,8,-13.916,1,0.0332,0.915,0.763,0.0724,0.04,85.423,398493,4
Sort Of Revolution,Fink,0.711,0.274,11,-17.17,0,0.0355,0.698,0.499,0.0823,0.21,145.026,393907,4
Something About Us,Daft Punk,0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,232667,4
Vultures,Cocoon,0.671,0.463,6,-7.431,1,0.0295,0.606,0.0,0.104,0.587,82.458,180998,4
Animal Salvatge,Sanjosex,0.617,0.517,7,-10.49,1,0.0262,0.627,0.000207,0.158,0.59,141.317,220600,4
Ain't No Sunshine,Nancy Sinatra,0.307,0.245,10,-11.62,0,0.03,0.881,0.00762,0.243,0.254,139.287,163200,4
However Many Takes it Takes,Vandaveer,0.608,0.529,0,-8.087,0,0.0296,0.739,0.0,0.18,0.719,112.533,153933,4
"Welcome Home, Son",Radical Face,0.601,0.537,6,-9.464,1,0.0296,0.743,0.732,0.143,0.394,144.994,285320,3
All the Trees of the Field Will Clap Their Hands,Sufjan Stevens,0.632,0.225,4,-13.423,1,0.0296,0.984,0.74,0.112,0.683,144.641,254053,4
